,Team,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Arsenal,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,8.0,18.0
1,Aston Villa,10.0,16.0,11.0,6.0,6.0,6.0,9.0,16.0,15.0,15.0,17.0,20.0,18.0,18.0,17.0,18.0
2,Birmingham,12.0,18.0,,19.0,,9.0,18.0,,,,,,18.0,18.0,18.0,18.0
3,Blackburn,15.0,6.0,10.0,7.0,15.0,10.0,15.0,19.0,,,,,18.0,18.0,18.0,18.0
4,Blackpool,,,,,,,19.0,,,,,,18.0,18.0,18.0,18.0
5,Bolton,6.0,8.0,7.0,16.0,13.0,14.0,14.0,18.0,,,,,18.0,18.0,18.0,18.0
6,Bournemouth,,,,,,,,,,,,16.0,9.0,12.0,18.0,18.0
7,Bradford,,,,,,,,,,,,,18.0,18.0,18.0,18.0
8,Burnley,,,,,,18.0,,,,,19.0,,16.0,7.0,10.0,18.0
9,Cardiff,,,,,,,,,,20.0,,,18.0,18.0,18.0,18.0
10,Charlton,11.0,13.0,19.0,,,,,,,,,,18.0,18.0,18.0,18.0
11,Chelsea,1.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,3.0,3.0,1.0,10.0,1.0,5.0,4.0,18.0
12,Coventry,,,,,,,,,,,,,18.0,18.0,18.0,18.0
13,Crystal Palace,18.0,,,,,,,,,11.0,10.0,15.0,14.0,11.0,14.0,18.0
14,Derby,,,,20.0,,,,,,,,,18.0,18.0,18.0,18.0
15,Everton,4.0,11.0,6.0,5.0,5.0,8.0,7.0,7.0,6.0,5.0,11.0,11.0,7.0,8.0,12.0,18.0
16,Fulham,13.0,12.0,,17.0,7.0,12.0,8.0,9.0,12.0,19.0,,,18.0,18.0,19.0,18.0
17,Hull,,,,,17.0,19.0,,,,16.0,18.0,,18,18.0,18.0,18.0
18,Ipswich,,,,,,,,,,,,,18.0,18.0,18.0,18.0
19,Leeds,,,,,,,,,,,,,18.0,18.0,18.0,18.0
20,Leicester,,,,,,,,,,,14.0,1.0,12.0,9.0,5.0,18.0
21,Liverpool,5.0,3.0,3.0,4.0,2.0,7.0,6.0,8.0,7.0,2.0,6.0,8.0,4.0,4.0,1.0,18.0
22,Man City,8.0,15.0,14.0,9.0,10.0,5.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,18.0
23,Man United,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,5.0,6.0,2.0,3.0,18.0
24,Middlesboro,7.0,14.0,12.0,13.0,19.0,,,,,,,,18.0,18.0,18.0,18.0
25,Middlesbrough,7.0,14.0,12.0,13.0,19.0,,,,,,,,19.0,18.0,18.0,18.0
26,Newcastle,14.0,7.0,13.0,12.0,18.0,,12.0,5.0,16.0,10.0,15.0,18.0,18.0,10.0,13.0,18.0
27,Norwich,19.0,,,,,,,12.0,11.0,18.0,,19.0,18.0,18.0,20.0,18.0
28,Portsmouth,16.0,17.0,9.0,8.0,14.0,20.0,,,,,,,18.0,18.0,18.0,18.0
29,QPR,,,,,,,,17.0,20.0,,,,18.0,18.0,18.0,18.0
30,Reading,,,8.0,18.0,,,,,19.0,,20.0,,18.0,18.0,18.0,18.0
31,Sheffield United,,,18.0,,,,,,,,,,18.0,18.0,9.0,18.0
32,Southampton,20.0,,,,,,,,14.0,8.0,7.0,6.0,8.0,17.0,11.0,18.0
33,Stoke,,,,,12.0,11.0,13.0,14.0,13.0,9.0,9.0,9.0,13.0,19.0,18.0,18.0
34,Sunderland,,20.0,,15.0,16.0,13.0,10.0,13.0,17.0,14.0,16.0,17.0,20.0,18.0,18.0,18.0
35,Swansea,,,,,,,,11.0,9.0,12.0,8.0,12.0,15.0,18.0,18.0,18.0
36,Tottenham,9.0,5.0,5.0,11.0,8.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,3.0,6.0,18.0
37,Watford,,,20.0,,,,,,,,,13.0,17.0,14.0,19.0,18.0
38,West Brom,17.0,19.0,,,20.0,,11.0,10.0,8.0,17.0,13.0,14.0,10.0,20.0,18.0,18.0
39,West Ham,,9.0,15.0,10.0,9.0,17.0,20.0,,10.0,13.0,12.0,7.0,11.0,13.0,16.0,18.0
40,Wigan,,10.0,,14.0,11.0,16.0,16.0,15.0,18.0,,,,18.0,18.0,18.0,18.0
41,Wolves,,,,,,15.0,17.0,20.0,,,,,18.0,18.0,7.0,18.0
42,Wimbledon,,,,,,,,,,,,,18.0,18.0,18.0,18.0
43,Huddersfield,,,,,,,,,,,,,,16.0,20.0,
44,Brighton,,,,,,,,,,,,,,15.0,15.0,
